,        KETTERING ARCHERS,,,,,,,
,,                         NEW YEAR ROVING CLOUT  RESULTS,,,,,,
,,,,,,,,
,JUDGE:  J.BOSWORTH,,,,DATE:  04.01.26              ,,,
,,,,,,,,
CLASS,POSITION,NAME,CLUB,ROUND,HITS,CLOUTS,SCORE,
Mens Recurve,1,J. Butt,K.A.,Roving Clout,23,3,64,
,2,D. Chaplin,K.A.,Roving Clout,20,2,51,
,3,,,,,,,
,4,,,,,,,
Mens Barebow,1,G. Salort,K.A.,Roving Clout,27,2,67,
,2,G. Sore,K.A.,Roving Clout,20,4,65,
,3,,,,,,,
,4,,,,,,,
,5,,,,,,,
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
Mens Flatbow,1,S. Hammond (V),K.A.,Roving Clout,24,4,68,
,2,,,,,,,
,3,,,,,,,
Mens Horsebow,1,J. Bosworth,K.A.,Roving Clout,25,1,67,
,2,,,,,,,
,3,,,,,,,
Mens Traditional,1,,,,,,,
,2,,,,,,,
,3,,,,,,,
Mens Egyptian,1,,,,,,,
,2,,,,,,,
Mens Longbow,1,D. Burnett,K.A.,Roving Clout,33,8,107,
,2,G. Bastick,K.A.,Roving Clout,25,3,75,
,3,H. Sherrey,K.A.,Roving Clout,23,8,72,
,4,J. Stephenson,K.A.,Roving Clout,20,1,69,
,5,N. Gold,K.A.,Roving Clout,21,4,68,
,6,M. Allison,K.A.,Roving Clout,22,0,64,
,7,I. Constable,K.A.,Roving Clout,19,1,51,
,8,N. Stephenson,K.A.,Roving Clout,14,1,48,
,9,,,,,,,
,10,,,,,,,
Mens Compound,1,,,,,,,
Ladies Recurve,1,W. Russell,K.A.,Roving Clout,15,1,41,
,2,,,,,,,
,3,,,,,,,
Ladies Barebow,1,S. Allison,K.A.,Roving Clout,13,3,46,
,2,,,,,,,
,3,,,,,,,
Ladies Horsebow,1,D. Golding,K.A.,Roving Clout,18,1,51,
Ladies Longbow,1,H. Hammond,K.A.,Roving Clout,23,2,65,
,2,C. Wilks,K.A.,Roving Clout,20,3,59,
Ladies Compound,1,,,,,,,
Boys Recurve,1,,,,,,,
Boys Barebow,1,,,,,,,
Boys Flatbow,1,,,,,,,
Boys Longbow,1,R. Barton,K.A.,Roving Clout,27,2,69,
,2,M. Gold,K.A.,Roving Clout,18,3,55,
Girls Recurve,1,M. Butt,K.A.,Roving Clout,16,1,47,
Girls Longbow,1,I. Smith,K.A.,Roving Clout,23,7,70,
,2,P. Chaplin,K.A.,Roving Clout,14,4,51,
RESULTS SHEET COMPILED BY M. Allison (ACT. CHAIRMAN..KETTERING ARCHERS)…………………....………….,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
