,        KETTERING ARCHERS,,,,,,,
,,                         FROSTBITE  RESULTS,,,,,,
,JUDGE: H.SHERREY,,,,DATE: 11.01.26,,,
,,,,,,,,
CLASS,POSITION,NAME,CLUB,ROUND,HITS,GOLDS,SCORE,
Mens Recurve,1,P.Conyngham,K.A.,Frostbite,36,3,268,
,2,,,,,,,
,3,,,,,,,
,4,,,,,,,
Mens Barebow,1,G.Sore,K.A.,Frostbite,36,7,285,
,2,M.Tartaglia,K.A.,Frostbite,31,1,171,
,3,,,,,,,
,4,,,,,,,
,5,,,,,,,
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
Mens Flatbow,1,R.Edmunds,K.A.,Frostbite,32,2,174,
,2,,,,,,,
,3,,,,,,,
Mens Horsebow,1,,,,,,,
,2,,,,,,,
,3,,,,,,,
Mens Traditional,1,,,,,,,
,2,,,,,,,
,3,,,,,,,
Mens Egyptian,1,,,,,,,
Mens Longbow,1,,,,,,,
,2,,,,,,,
,3,,,,,,,
,4,,,,,,,
,5,,,,,,,
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
Mens Compound,1,,,,,,,
Ladies Recurve,1,W.Russell,K.A.,Frostbite,20,3,107,
,2,,,,,,,
,3,,,,,,,
,4,,,,,,,
Ladies Barebow,1,D.Golding,K.A.,Frostbite,35,3,235,
,2,,,,,,,
,3,,,,,,,
,4,,,,,,,
,5,,,,,,,
,6,,,,,,,
Ladies Flatbow,1,,,,,,,
Ladies Horsebow,1,,,,,,,
Ladies Longbow,1,,,,,,,
,2,,,,,,,
Ladies Compound,1,,,,,,,
Boys Recurve,1,,,,,,,
Boys Barebow,1,,,,,,,
Boys Flatbow,1,,,,,,,
Boys Longbow,1,,,,,,,
,2,,,,,,,
Girls Recurve,1,,,,,,,
Girls Barebow,1,,,,,,,
Girls Longbow,1,,,,,,,
RESULTS SHEET COMPILED BY J.BOSWORTH (PRESIDENT..KETTERING ARCHERS)……….……………...……….,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
